S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
81,Kamana Sewa Bikas Bank Limited,131,370.00,351.00,352.00,12814.00,4546529.50,357.10,-5.10 ,                                             ,
82,Karnali Development Bank Limited,12,255.00,249.00,249.00,574.00,143457.40,252.00,-3.00 ,                                             ,
83,Khanikhola Hydropower Co. Ltd.,36,220.00,212.50,212.50,2292.00,491785.10,216.00,-3.50 ,                                             ,
84,Kisan Lagubitta Bittiya Sanstha Limited,17,920.00,853.00,913.00,227.00,202126.00,888.00,25.00 ,                                            ,
85,Kumari Bank Limited,411,209.90,201.00,201.90,88463.00,18086557.40,208.50,-6.60 ,                                             ,
86,Kumari Equity Fund,9,9.10,8.73,9.10,5000.00,45196.40,8.90,0.20 ,                                            ,
87,Laxmi Bank Limited,49,216.90,210.70,214.90,6915.00,1464206.60,215.00,-0.10 ,                                             ,
88,Laxmi Equity Fund,7,9.53,9.52,9.52,18900.00,179943.00,9.60,-0.08 ,                                             ,
89,Laxmi Laghubitta Bittiya Sanstha Ltd.,10,1232.00,1182.10,1182.10,626.00,765917.10,1230.00,-47.90 ,                                             ,
90,Laxmi Unnati Kosh,2,9.50,9.39,9.39,11000.00,104390.00,9.50,-0.11 ,                                             ,
91,Liberty Energy Company Limited,48,264.90,254.00,255.00,3560.00,916610.30,265.00,-10.00 ,                                             ,
92,Life Insurance Corporation (Nepal) Limited,108,1255.00,1213.00,1234.80,7332.00,9002512.40,1259.80,-25.00 ,                                             ,
93,Lumbini Bikas Bank Ltd.,80,362.10,347.90,356.00,9142.00,3245858.70,355.00,1.00 ,                                            ,
94,Lumbini General Insurance Co. Ltd.,71,445.00,430.00,445.00,5151.00,2233343.30,439.00,6.00 ,                                            ,
95,Machhapuchhre Bank Limited,146,248.00,243.00,243.10,22161.00,5410406.00,245.60,-2.50 ,                                             ,
96,Madhya Bhotekoshi Jalavidyut Company Limited,288,260.00,250.00,252.10,4780.00,1210730.00,255.00,-2.90 ,                                             ,
97,Mahalaxmi Bikas Bank Ltd.,132,373.00,362.00,365.00,13662.00,4970982.40,366.60,-1.60 ,                                             ,
98,Mahila Lagubitta Bittiya Sanstha Limited ,56,3455.00,3402.10,3430.00,952.00,3276305.00,3404.00,26.00 ,                                            ,
99,Mahuli Laghubitta Bittiya Sanstha Limited,16,1088.00,1038.00,1038.00,454.00,489087.00,1064.00,-26.00 ,                                             ,
100,Mailung Khola Jal Vidhyut Company Limited,9,478.30,460.00,464.00,220.00,102950.00,469.00,-5.00 ,                                             ,
Page 5/12 «First ‹Prev 12345678910Next›Last»
Total Amount Rs.,"998,674,262"
Total Quantity,"2,920,705"
Total No of Transactions,"20,774"
