,0,1,2,3,4,5,6,7,8,9,10,11
0,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,,
1,21,Best Finance Company Ltd.,68,380.00,370.00,371.30,6141.00,2291486.00,374.00,-2.70 ,                                             ,
2,22,Bishal Bazar Company Limited,6,3622.00,3515.10,3622.00,75.00,267344.00,3551.00,71.00 ,                                            ,
3,23,Bottlers Nepal (Terai) Limited,11,13250.00,12840.00,12840.00,1880.00,24867120.00,13109.70,-269.70 ,                                             ,
4,24,Buddha Bhumi Nepal Hydropower Company Limited,59,401.00,388.10,388.10,2187.00,862427.00,408.80,-20.70 ,                                             ,
5,25,Butwal Power Company Limited,66,335.00,329.00,330.00,4493.00,1493673.90,334.00,-4.00 ,                                             ,
6,26,CEDB Hydropower Development Company Limited,62,715.00,700.00,705.00,3270.00,2303731.00,709.30,-4.30 ,                                             ,
7,27,Central Finance Co. Ltd.,95,295.00,277.00,280.00,7335.00,2078941.00,285.00,-5.00 ,                                             ,
8,28,Century Commercial Bank Ltd.,172,201.00,196.50,197.20,143128.00,28396932.40,199.00,-1.80 ,                                             ,
9,29,Chandragiri Hills Limited,80,1050.00,1014.40,1038.00,3070.00,3155946.00,1050.00,-12.00 ,                                             ,
10,30,Chhimek Laghubitta Bittiya Sanstha Limited,138,1050.60,1010.00,1016.00,5422.00,5515675.70,1020.00,-4.00 ,                                             ,
11,31,Chhyangdi Hydropower Ltd.,57,304.00,281.30,284.90,4317.00,1233422.70,287.10,-2.20 ,                                             ,
12,32,Chilime Hydropower Company Limited,81,399.00,395.10,396.00,7280.00,2885709.20,399.90,-3.90 ,                                             ,
13,33,Citizen Bank International Limited,105,224.00,219.00,222.00,73734.00,16265561.10,223.10,-1.10 ,                                             ,
14,34,Citizen Investment Trust,297,2425.00,2350.00,2365.00,8670.00,20632578.00,2405.00,-40.00 ,                                             ,
15,35,Citizens Mutual Fund -1,1,8.66,8.66,8.66,100.00,866.00,8.80,-0.14 ,                                             ,
16,36,CITIZENS MUTUAL FUND 2,1,9.62,9.62,9.62,1000.00,9620.00,9.81,-0.19 ,                                             ,
17,37,Civil Bank Ltd,384,212.00,205.00,207.10,257451.00,53700379.40,206.00,1.10 ,                                            ,
18,38,Civil Laghubitta Bittiya Sanstha Ltd.,13,765.00,752.10,765.00,1222.00,931663.80,776.00,-11.00 ,                                             ,
19,39,Corporate Development Bank Limited,57,321.00,305.00,308.00,4071.00,1256771.30,317.00,-9.00 ,                                             ,
20,40,CYC Nepal Laghubitta Bittiya Sanstha Limited,11,382.20,382.20,382.20,60.00,22848.10,0.00,0.00 ,                                            ,
